date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:35	260/260	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Feb%202026%2008:51:35%20GMT	http://103.158.133.62/robots.txt		(from )
14:52:03	31504/31504	---M-Z	200	added ('OK')	text/html	etag:%227b10-64b3d4ccbdc83-gzip%22	http://103.158.133.62/	C:/Users/USER/Downloads/aa/103.158.133.62/index.html	(from )
14:53:02	17891/17891	---M--	200	added ('OK')	image/png	etag:%2245e3-645e9ac3bd7d4%22	http://103.158.133.62/favicon.png	C:/Users/USER/Downloads/aa/103.158.133.62/favicon.png	(from http://103.158.133.62/)
14:53:03	3347/3347	---M--	200	added ('OK')	text/css	etag:%22d13-6472afb162cf3%22	http://103.158.133.62/css/style.css	C:/Users/USER/Downloads/aa/103.158.133.62/css/style.css	(from http://103.158.133.62/)
14:53:07	48377/48377	---M--	200	added ('OK')	text/css	etag:%22bcf9-645e9ac2cd415%22	http://103.158.133.62/css/video-js.css	C:/Users/USER/Downloads/aa/103.158.133.62/css/video-js.css	(from http://103.158.133.62/)
14:54:19	2460/2460	---M-Z	200	added ('OK')	text/html	etag:%2299c-645e9ac3ddb74-gzip%22	http://103.158.133.62/wel.html	C:/Users/USER/Downloads/aa/103.158.133.62/wel.html	(from http://103.158.133.62/)
14:55:57	62491/62491	---M--	200	added ('OK')	image/png	etag:%22f41b-645e9abb37d9f%22	http://103.158.133.62/assets/images/live.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/live.png	(from http://103.158.133.62/)
14:56:19	66787/66787	---M--	200	added ('OK')	image/png	etag:%22104e3-645e9ac19b977%22	http://103.158.133.62/assets/images/t-sports.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/t-sports.png	(from http://103.158.133.62/)
14:56:42	98405/98405	---M--	200	added ('OK')	image/png	etag:%2218065-645e9abf7e93a%22	http://103.158.133.62/assets/images/sony-ten1.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/sony-ten1.png	(from http://103.158.133.62/)
14:56:47	99254/99254	---M--	200	added ('OK')	image/png	etag:%22183b6-645e9abfa69d9%22	http://103.158.133.62/assets/images/sony-ten2.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/sony-ten2.png	(from http://103.158.133.62/)
